PI_page,docs,name,on_github
http://pypi.python.org/pypi/Flask-Admin,http://flask-admin.readthedocs.org/en/latest/index.html,Flask-Admin,http://github.com/flask-admin/flask-admin/
http://pypi.python.org/pypi/Flask-Ask,http://flask-ask.readthedocs.io/en/latest/,Flask-Ask,http://github.com/johnwheeler/flask-ask/
http://pypi.python.org/pypi/Flask-Assets,http://elsdoerfer.name/docs/flask-assets/,Flask-Assets,http://github.com/miracle2k/flask-assets/
http://pypi.python.org/pypi/Flask-AutoIndex,http://pythonhosted.org/Flask-AutoIndex/,Flask-AutoIndex,http://github.com/sublee/flask-autoindex/
http://pypi.python.org/pypi/Flask-Babel,http://pythonhosted.org/Flask-Babel/,Flask-Babel,http://github.com/mitsuhiko/flask-babel/
http://pypi.python.org/pypi/Flask-Bcrypt,http://pythonhosted.org/Flask-Bcrypt/,Flask-Bcrypt,http://github.com/maxcountryman/flask-bcrypt/
http://pypi.python.org/pypi/Flask-Cache,http://pythonhosted.org/Flask-Cache,Flask-Cache,http://github.com/thadeusb/flask-cache/
http://pypi.python.org/pypi/Flask-Celery,http://ask.github.com/celery/,Flask-Celery,http://github.com/ask/flask-celery/
http://pypi.python.org/pypi/Flask-Classy,http://pythonhosted.org/Flask-Classy/,Flask-Classy,http://github.com/apiguy/flask-classy/
http://pypi.python.org/pypi/Flask-Cors,http://flask-cors.readthedocs.org/en/latest/,Flask-Cors,http://github.com/wcdolphin/flask-cors/
http://pypi.python.org/pypi/Flask-CouchDB,http://pythonhosted.org/Flask-CouchDB/,Flask-CouchDB,http://bitbucket.org/leafstorm/flask-couchdb/
http://pypi.python.org/pypi/Flask-CouchDBKit,http://pythonhosted.org/Flask-CouchDBKit/,Flask-CouchDBKit,http://github.com/sirn/flask-couchdbkit/
http://pypi.python.org/pypi/Flask-Creole,http://pythonhosted.org/Flask-Creole,Flask-Creole,http://bitbucket.org/aafshar/flask-creole-main/
http://pypi.python.org/pypi/Flask-Dance,https://flask-dance.readthedocs.org/en/latest/,Flask-Dance,http://github.com/singingwolfboy/flask-dance/
http://pypi.python.org/pypi/Flask-Dashed,http://jeanphix.github.com/Flask-Dashed/,Flask-Dashed,http://github.com/jeanphix/Flask-Dashed/
http://pypi.python.org/pypi/Flask-DebugToolbar,https://github.com/mgood/flask-debugtoolbar,Flask-DebugToolbar,http://github.com/mgood/flask-debugtoolbar/
